month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-11-01,B DIVISION,S Rock,offpeak,"34,131.715","1.0741476","-0.9585419","36,662.5","-32,716.682","3,619.1284",10.6034175%,89.396584%
2024-11-01,B DIVISION,S Rock,peak,"22,063.62","0.5820136","-1.2333992","12,841.327","-27,213.25","1,660.1104",7.5241975%,92.4758%
2024-11-01,B DIVISION,W,offpeak,"1,226,991.2","0.92883873","0.28659427","1,139,677","351,648.62","133,435.78",10.875039%,89.12496%
2024-11-01,B DIVISION,W,peak,"1,494,377.8","1.1251838","-0.051728383","1,681,449.6","-77,301.74","135,332.9",9.056138%,90.94386%
2024-10-01,A DIVISION,"1",offpeak,"5,062,172","0.9354727","0.79718596","4,735,524","4,035,492.8","588,591.44",11.62725%,88.37275%
2024-10-01,A DIVISION,"1",peak,"5,666,852","1.0025195","0.66396517","5,681,129.5","3,762,592.5","551,934.6",9.7397044%,90.2603%
2024-10-01,A DIVISION,"2",offpeak,"3,160,132.5","1.2490753","0.5433028","3,947,243.2","1,716,908.9","511,390.62",16.182569%,83.81743%
2024-10-01,A DIVISION,"2",peak,"3,801,006.5","1.0845504","0.4011202","4,122,383.2","1,524,660.4","470,566.16",12.380041%,87.61996%
2024-10-01,A DIVISION,"3",offpeak,"2,375,433.8","0.91568035","0.38047123","2,175,138","903,784.2","280,620.84",11.813457%,88.186544%
2024-10-01,A DIVISION,"3",peak,"2,934,185.8","0.8480211","0.49691474","2,488,251.2","1,458,040.1","296,191.62",10.0945085%,89.90549%
2024-10-01,A DIVISION,"4",offpeak,"4,205,587","1.046517","0.41017783","4,401,218.5","1,725,038.5","559,297.94",13.298926%,86.70107%
2024-10-01,A DIVISION,"4",peak,"4,498,115","1.1339024","0.59552413","5,100,423.5","2,678,736","559,831.8",12.4459215%,87.55408%
2024-10-01,A DIVISION,"5",offpeak,"2,921,091.2","1.1195511","0.40567914","3,270,310.8","1,185,025.8","388,986.8",13.31649%,86.68351%
2024-10-01,A DIVISION,"5",peak,"3,860,806.5","1.0603781","0.2877238","4,093,914.5","1,110,846","446,379.7",11.5618244%,88.43818%
2024-10-01,A DIVISION,"6",offpeak,"5,668,443","1.0895808","0.7160412","6,176,226","4,058,838.5","716,670.06",12.643155%,87.35685%
2024-10-01,A DIVISION,"6",peak,"6,373,271.5","1.240972","0.85250604","7,909,052","5,433,252.5","870,004.9",13.650836%,86.349165%
2024-10-01,A DIVISION,"7",offpeak,"4,320,350.5","1.0346023","0.8990467","4,469,844.5","3,884,197","630,467.06",14.59296%,85.40704%
2024-10-01,A DIVISION,"7",peak,"4,815,329","0.83491117","0.5757008","4,020,372","2,772,188.8","460,752.62",9.568455%,90.43155%
2024-10-01,A DIVISION,S 42nd,offpeak,"346,467.22","0.4740086","-0.097203076","164,228.44","-33,677.68","5,498.951",1.5871491%,98.412853%
2024-10-01,A DIVISION,S 42nd,peak,"480,210.12","0.35072178","-0.10730598","168,420.14","-51,529.418","138.73186",0.028889824%,99.97111%
2024-10-01,B DIVISION,A,offpeak,"3,925,394.5","1.2215014","0.78293294","4,794,874.5","3,073,320.8","795,841.3",20.274174%,79.725826%
2024-10-01,B DIVISION,A,peak,"4,933,817.5","0.97143495","0.45082834","4,792,883","2,224,304.8","715,361.7",14.499152%,85.50085%
2024-10-01,B DIVISION,B,offpeak,"2,075,358.1","1.5911646","1.1331224","3,302,236.5","2,351,635","504,171.62",24.293235%,75.70677%
2024-10-01,B DIVISION,B,peak,"2,990,318.2","1.5608919","1.112659","4,667,563.5","3,327,204.8","714,560.7",23.895808%,76.104194%
2024-10-01,B DIVISION,C,offpeak,"2,651,173.2","1.4984611","0.5370043","3,972,680.2","1,423,691.4","443,744.28",16.737656%,83.26234%
2024-10-01,B DIVISION,C,peak,"2,323,297.2","1.4476849","0.350574","3,363,402.5","814,487.6","348,118.28",14.983802%,85.016197%
2024-10-01,B DIVISION,D,offpeak,"3,203,152.8","1.5308856","1.17336","4,903,660.5","3,758,451.2","806,514.25",25.178763%,74.82124%
2024-10-01,B DIVISION,D,peak,"3,034,881","1.3559984","1.0570947","4,115,294","3,208,156.5","659,625.5",21.734805%,78.265196%
2024-10-01,B DIVISION,E,offpeak,"3,639,717.2","1.218205","0.34384543","4,433,922","1,251,500.2","558,331",15.339954%,84.66005%
2024-10-01,B DIVISION,E,peak,"4,217,139.5","1.0133996","-0.7258455","4,273,647.5","-3,060,992","346,407.06",8.214266%,91.785735%
2024-10-01,B DIVISION,F,offpeak,"4,409,933","1.6536559","0.24020526","7,292,511.5","1,059,289","905,331.2",20.529364%,79.470634%
2024-10-01,B DIVISION,F,peak,"5,116,906","1.3256178","-0.56526077","6,783,061.5","-2,892,386","633,657.1",12.3835996%,87.6164%
2024-10-01,B DIVISION,G,offpeak,"1,268,294.8","1.2728113","1.1273284","1,614,299.9","1,429,784.6","240,705.5",18.978672%,81.021327%
2024-10-01,B DIVISION,G,peak,"1,455,285.4","1.1672384","0.72943217","1,698,664.9","1,061,532","269,366.2",18.50951%,81.490487%
2024-10-01,B DIVISION,JZ,offpeak,"1,590,596.9","1.4250147","0.8596062","2,266,624","1,367,287","352,124.56",22.137888%,77.862114%
2024-10-01,B DIVISION,JZ,peak,"1,663,525.6","1.3235312","0.5425427","2,201,728","902,533.7","298,164.9",17.923672%,82.07633%
2024-10-01,B DIVISION,L,offpeak,"2,925,497.2","0.74410355","0.5206234","2,176,873","1,523,082.2","240,117.39",8.207746%,91.792256%
2024-10-01,B DIVISION,L,peak,"3,067,645.8","0.7560702","0.49603692","2,319,355.5","1,521,665.6","207,372.14",6.7599766%,93.24002%
2024-10-01,B DIVISION,M,offpeak,"1,869,873.1","1.9422972","0.33661574","3,631,849.2","629,428.75","408,470.75",21.844839%,78.15516%
2024-10-01,B DIVISION,M,peak,"2,180,939.2","1.6107941","0.04464509","3,513,044.2","97,368.234","402,357.78",18.448828%,81.55117%
2024-10-01,B DIVISION,N,offpeak,"2,739,615","1.4573787","0.95019406","3,992,656.8","2,603,166","616,895.4",22.517595%,77.4824%
2024-10-01,B DIVISION,N,peak,"3,102,566","1.5041677","0.70523804","4,666,779.5","2,188,047.8","610,805.9",19.687119%,80.31288%
2024-10-01,B DIVISION,Q,offpeak,"3,377,960.2","1.4094087","0.72016126","4,760,926.5","2,432,676","737,504.94",21.832849%,78.16715%
2024-10-01,B DIVISION,Q,peak,"3,838,658.2","1.3167579","0.91677284","5,054,584","3,519,177.5","812,585.94",21.16849%,78.83151%
2024-10-01,B DIVISION,R,offpeak,"3,630,146.8","1.7196065","0.21520771","6,242,424","781,235.56","762,655.25",21.008939%,78.99106%
2024-10-01,B DIVISION,R,peak,"4,181,815.8","1.5464576","0.012399053","6,467,000.5","51,850.555","682,390.9",16.318053%,83.681947%
2024-10-01,B DIVISION,S Fkln,offpeak,"214,829.89","0.76561767","0.031292215","164,477.56","6,722.5034","12,357.958",5.752439%,94.24756%
2024-10-01,B DIVISION,S Fkln,peak,"208,621.62","0.5809143","0.024787031","121,191.3","5,171.111","12,812.385",6.1414458%,93.85855%
2024-10-01,B DIVISION,S Rock,offpeak,"36,574.645","1.1602392","-0.71293116","42,435.332","-26,075.201","4,722.958",12.913203%,87.086797%
2024-10-01,B DIVISION,S Rock,peak,"24,367.299","0.8639437","-1.214525","21,051.975","-29,594.693","2,634.0237",10.809666%,89.190334%
2024-10-01,B DIVISION,W,offpeak,"1,259,631","0.89975363","0.29097405","1,133,357.6","366,519.94","147,120.1",11.679619%,88.32038%
2024-10-01,B DIVISION,W,peak,"1,603,162.2","0.92592615","0.04273375","1,484,409.9","68,509.13","149,538.77",9.327738%,90.67226%
2024-09-01,A DIVISION,"1",offpeak,"4,436,528","1.0456676","0.80042636","4,639,134","3,551,114","566,734.1",12.774272%,87.22573%
2024-09-01,A DIVISION,"1",peak,"4,867,927.5","1.0138668","0.7138606","4,935,430","3,475,021.2","509,113.34",10.458524%,89.541477%
2024-09-01,A DIVISION,"2",offpeak,"2,764,587.8","1.3143607","0.71197104","3,633,665.8","1,968,306.5","480,457.44",17.37899%,82.62101%
